;Temperatura;Temperaturamax;Temperaturamin;Precipitacion(mm);Horasdesol(horas)
1.Enero;16;21;11;3.2mm;7.1
2.Enero;16;21;11;4.6mm;7.1
3.Enero;16;21;11;5.3mm;7.3
4.Enero;16;21;11;4.8mm;6.9
5.Enero;16;21;11;5.8mm;6.5
6.Enero;16;21;11;5.2mm;6.6
7.Enero;16;21;11;5.9mm;6.3
8.Enero;16;21;11;6.4mm;6.3
9.Enero;16;20;12;6.5mm;6.4
10.Enero;16;21;12;4.4mm;6.3
11.Enero;16;21;12;5.6mm;6.4
12.Enero;16;21;11;3.8mm;6.1
13.Enero;16;21;12;3.9mm;6
14.Enero;16;21;12;4.5mm;6.3
15.Enero;16;21;11;6.1mm;6.1
16.Enero;16;20;11;7.3mm;5.9
17.Enero;16;20;12;6.5mm;5.7
18.Enero;16;21;11;6.2mm;5.9
19.Enero;16;21;11;4.3mm;6.2
20.Enero;16;21;11;4.1mm;6.3
21.Enero;16;21;11;4.7mm;6.3
22.Enero;16;21;11;4.7mm;6.8
23.Enero;16;21;11;3.8mm;6.4
24.Enero;16;21;11;3.2mm;6.3
25.Enero;16;21;11;3.1mm;6.7
26.Enero;16;21;12;3.1mm;6.5
27.Enero;17;21;12;3.3mm;6.8
28.Enero;16;22;11;3.4mm;6.5
29.Enero;16;22;11;4.2mm;6.8
30.Enero;16;21;11;4.3mm;6.8
31.Enero;16;21;11;5.0mm;6.4
1.Febrero;16;22;11;4.8mm;6.4
2.Febrero;17;22;11;5.1mm;6.9
3.Febrero;17;22;12;4.9mm;6.7
4.Febrero;17;22;12;6.9mm;7
5.Febrero;17;22;12;7.3mm;7
6.Febrero;17;22;12;5.8mm;7
7.Febrero;17;21;12;5.6mm;7
8.Febrero;17;21;12;7.2mm;6.5
9.Febrero;16;21;12;7.2mm;6.6
10.Febrero;17;21;12;7.4mm;6.8
11.Febrero;17;22;12;5.0mm;6.6
12.Febrero;17;22;11;5.9mm;6.5
13.Febrero;17;21;12;5.2mm;6.7
14.Febrero;16;21;12;5.6mm;6.4
15.Febrero;17;22;11;4.5mm;6.6
16.Febrero;16;21;12;6.3mm;6.2
17.Febrero;16;21;12;7.5mm;5.8
18.Febrero;16;21;11;6.4mm;6
19.Febrero;16;21;11;7.5mm;6
20.Febrero;16;21;12;6.9mm;5.9
21.Febrero;16;21;12;7.0mm;5.9
22.Febrero;16;21;12;6.7mm;6.2
23.Febrero;16;21;11;6.5mm;6.3
24.Febrero;16;21;12;6.6mm;6.6
25.Febrero;16;21;12;6.9mm;6.5
26.Febrero;16;21;11;6.4mm;6.5
27.Febrero;16;21;12;7.0mm;6.5
28.Febrero;16;21;11;8.3mm;6.5
1.Marzo;17;21;12;8.6mm;6.5
2.Marzo;17;21;12;9.0mm;6.4
3.Marzo;17;21;12;8.2mm;6.2
4.Marzo;17;22;12;7.5mm;6.6
5.Marzo;17;22;12;7.8mm;7
6.Marzo;17;22;12;9.1mm;6.5
7.Marzo;16;21;12;8.5mm;6.3
8.Marzo;17;22;12;8.1mm;6.6
9.Marzo;17;22;12;7.8mm;6.7
10.Marzo;17;22;11;7.4mm;6.7
11.Marzo;17;22;11;7.1mm;6.4
12.Marzo;17;22;12;7.0mm;7.1
13.Marzo;17;22;12;6.5mm;7.1
14.Marzo;17;22;12;7.8mm;6.6
15.Marzo;16;21;12;8.0mm;6.3
16.Marzo;17;22;12;7.3mm;6.8
17.Marzo;16;21;12;10.5mm;6.5
18.Marzo;16;21;12;9.8mm;6
19.Marzo;17;21;12;9.3mm;6.7
20.Marzo;16;21;12;10.5mm;6.4
21.Marzo;16;21;12;9.8mm;6.1
22.Marzo;16;21;12;10.6mm;6.3
23.Marzo;17;22;12;9.4mm;6.4
24.Marzo;17;22;12;9.6mm;7
25.Marzo;17;22;12;9.4mm;6.7
26.Marzo;17;22;12;10.8mm;6.4
27.Marzo;17;22;12;10.8mm;6.6
28.Marzo;17;22;12;10.2mm;6.5
29.Marzo;17;22;12;10.1mm;6.6
30.Marzo;17;22;12;9.4mm;6.3
31.Marzo;17;22;12;10.9mm;6.7
1.Abril;17;21;12;10.8mm;6.6
2.Abril;17;21;12;10.1mm;6.7
3.Abril;17;21;12;10.6mm;6.6
4.Abril;17;21;12;11.3mm;6.3
5.Abril;17;21;12;10.0mm;6.5
6.Abril;17;21;12;10.9mm;6.6
7.Abril;17;22;12;9.9mm;7
8.Abril;17;21;12;12.1mm;6.8
9.Abril;17;21;12;10.2mm;6.7
10.Abril;16;21;12;10.4mm;6.1
11.Abril;17;21;12;11.9mm;6.2
12.Abril;17;21;12;13.0mm;6.2
13.Abril;16;21;12;14.9mm;6.5
14.Abril;16;21;12;13.4mm;6.1
15.Abril;16;21;12;10.2mm;6.5
16.Abril;17;21;12;10.6mm;7.1
17.Abril;17;21;12;11.3mm;6.9
18.Abril;17;21;12;10.7mm;6.5
19.Abril;17;21;12;11.4mm;7.1
20.Abril;17;21;12;13.2mm;6.8
21.Abril;17;21;13;12.8mm;6.8
22.Abril;17;21;12;10.4mm;7.1
23.Abril;17;21;12;10.9mm;6.6
24.Abril;17;21;12;11.7mm;6.3
25.Abril;16;20;12;13.2mm;6
26.Abril;17;21;13;13.6mm;6.3
27.Abril;17;21;12;12.0mm;7.1
28.Abril;17;21;12;14.1mm;6.9
29.Abril;17;21;12;11.3mm;7
30.Abril;17;21;12;10.5mm;6.8
1.Mayo;17;22;12;11.7mm;6.7
2.Mayo;17;21;12;13.8mm;6.7
3.Mayo;17;21;12;14.6mm;6.8
4.Mayo;17;21;12;12.5mm;7
5.Mayo;17;21;12;12.1mm;6.7
6.Mayo;17;21;12;13.5mm;6.4
7.Mayo;17;21;13;12.5mm;6.5
8.Mayo;17;21;12;13.3mm;6.9
9.Mayo;17;21;12;11.9mm;7.2
10.Mayo;17;21;12;12.3mm;7.2
11.Mayo;17;21;12;9.1mm;7.4
12.Mayo;17;22;12;8.6mm;7.6
13.Mayo;17;21;12;9.7mm;7.4
14.Mayo;17;21;12;9.8mm;7.5
15.Mayo;17;21;12;8.2mm;7.4
16.Mayo;17;21;12;9.9mm;6.9
17.Mayo;17;21;12;13.8mm;6.8
18.Mayo;17;21;13;12.0mm;7.3
19.Mayo;16;20;12;12.7mm;6.7
20.Mayo;17;21;12;10.5mm;6.8
21.Mayo;16;20;13;10.3mm;6
22.Mayo;16;20;12;8.9mm;6.8
23.Mayo;16;21;12;11.2mm;6.9
24.Mayo;17;21;12;9.0mm;7.1
25.Mayo;16;21;12;10.3mm;7.5
26.Mayo;16;21;12;10.3mm;7
27.Mayo;16;21;12;10.5mm;6.9
28.Mayo;16;21;12;10.6mm;7.4
29.Mayo;16;20;12;13.6mm;7.3
30.Mayo;16;21;12;10.0mm;7.2
31.Mayo;16;21;12;10.0mm;7.1
1.Junio;16;21;12;10.2mm;7
2.Junio;16;21;12;9.1mm;6.9
3.Junio;17;21;12;8.6mm;7.7
4.Junio;17;21;12;6.9mm;7.7
5.Junio;16;21;12;8.9mm;7.2
6.Junio;16;21;12;8.5mm;7.4
7.Junio;16;21;12;8.9mm;7
8.Junio;17;21;12;6.7mm;7.6
9.Junio;17;22;12;7.7mm;8.1
10.Junio;16;21;11;7.0mm;8
11.Junio;16;21;11;6.9mm;8
12.Junio;16;22;11;7.1mm;8
13.Junio;16;21;11;7.1mm;8
14.Junio;16;21;11;7.7mm;7.9
15.Junio;16;21;12;7.9mm;7.8
16.Junio;16;21;11;7.1mm;8.3
17.Junio;16;21;11;5.8mm;8.5
18.Junio;17;22;12;6.7mm;8.4
19.Junio;16;22;11;6.0mm;8.7
20.Junio;16;21;11;7.2mm;8.3
21.Junio;16;22;11;6.8mm;8.2
22.Junio;16;21;11;6.1mm;8
23.Junio;16;22;11;5.8mm;8.5
24.Junio;16;22;11;6.8mm;8.6
25.Junio;16;22;11;6.8mm;8.7
26.Junio;16;22;11;6.1mm;8.9
27.Junio;16;22;11;7.1mm;8.6
28.Junio;16;22;11;6.8mm;8.9
29.Junio;16;22;11;6.5mm;9
30.Junio;16;22;11;6.0mm;8.7
1.??Julio;16;21;11;6.0mm;8.8
2.??Julio;16;22;11;5.1mm;8.7
3.??Julio;16;22;11;5.5mm;8.7
4.??Julio;17;22;11;6.2mm;8.7
5.??Julio;16;22;11;7.5mm;7.9
6.??Julio;16;21;11;7.5mm;8.2
7.??Julio;16;21;11;6.1mm;8.4
8.??Julio;16;22;11;4.8mm;8.9
9.??Julio;16;22;11;5.2mm;9
10.??Julio;16;22;11;5.7mm;8.9
11.??Julio;16;22;11;5.9mm;8.9
12.??Julio;16;22;11;4.7mm;8.6
13.??Julio;16;22;11;5.6mm;8.8
14.??Julio;16;22;11;5.5mm;8.8
15.??Julio;16;21;11;8.5mm;7.9
16.??Julio;16;21;11;7.3mm;8
17.??Julio;16;22;11;6.8mm;8.3
18.??Julio;16;22;10;5.1mm;8.8
19.??Julio;16;22;11;5.4mm;8.9
20.??Julio;16;22;11;6.0mm;8.8
21.??Julio;16;22;11;5.9mm;8.4
22.??Julio;16;22;11;5.3mm;8.3
23.??Julio;16;22;11;5.0mm;8.9
24.??Julio;17;22;11;4.4mm;9.5
25.??Julio;17;23;11;3.5mm;9.4
26.??Julio;16;22;11;4.7mm;9.1
27.??Julio;17;22;11;5.5mm;9.2
28.??Julio;16;22;10;5.4mm;9.3
29.??Julio;16;22;11;5.1mm;8.7
30.??Julio;16;22;11;6.2mm;8.7
31.??Julio;16;22;11;7.0mm;8.5
1.Agosto;16;22;10;4.7mm;8.9
2.Agosto;17;23;11;3.6mm;9.3
3.Agosto;17;22;11;5.3mm;8.7
4.Agosto;17;22;11;5.1mm;8.8
5.Agosto;17;23;11;5.6mm;9
6.Agosto;17;23;11;4.5mm;9
7.Agosto;17;22;11;4.7mm;9
8.Agosto;17;22;11;5.7mm;8.6
9.Agosto;17;22;11;5.4mm;8.8
10.Agosto;17;23;11;5.3mm;9.3
11.Agosto;17;23;11;5.4mm;9.4
12.Agosto;17;23;11;4.6mm;9.1
13.Agosto;17;23;11;4.7mm;8.9
14.Agosto;17;22;11;6.1mm;8.4
15.Agosto;17;22;11;6.6mm;8.6
16.Agosto;17;22;11;5.9mm;8.9
17.Agosto;17;22;11;7.1mm;8.3
18.Agosto;17;22;11;7.5mm;8.4
19.Agosto;17;22;11;7.0mm;8
20.Agosto;17;22;11;6.0mm;8.3
21.Agosto;17;22;11;5.1mm;8.5
22.Agosto;17;22;11;4.8mm;8.4
23.Agosto;17;22;11;5.6mm;8.4
24.Agosto;17;22;11;7.5mm;8.1
25.Agosto;17;22;11;7.3mm;7.5
26.Agosto;17;22;12;10.4mm;7.8
27.Agosto;17;22;11;8.7mm;7.9
28.Agosto;17;22;11;7.7mm;8.1
29.Agosto;17;22;11;5.3mm;8.5
30.Agosto;17;22;11;5.2mm;8.5
31.Agosto;17;22;11;5.5mm;8.8
1.Septiembre;17;22;11;5.4mm;8.7
2.Septiembre;17;22;11;7.4mm;8.3
3.Septiembre;17;22;11;7.0mm;8.2
4.Septiembre;17;22;11;7.2mm;7.9
5.Septiembre;17;22;11;8.4mm;7.9
6.Septiembre;17;22;11;7.5mm;7.7
7.Septiembre;17;22;11;8.1mm;7.9
8.Septiembre;17;22;11;7.9mm;7.6
9.Septiembre;17;22;11;7.4mm;7.5
10.Septiembre;17;22;11;8.6mm;7.6
11.Septiembre;17;22;12;8.1mm;7.7
12.Septiembre;17;21;12;8.3mm;7.5
13.Septiembre;17;22;11;7.8mm;7.4
14.Septiembre;17;22;11;8.1mm;7.7
15.Septiembre;17;22;11;8.0mm;7.9
16.Septiembre;16;22;11;8.6mm;7.7
17.Septiembre;17;22;12;8.2mm;7.5
18.Septiembre;16;21;12;10.2mm;6.9
19.Septiembre;17;22;12;9.5mm;7
20.Septiembre;16;21;12;9.3mm;7.1
21.Septiembre;16;21;12;7.4mm;7.3
22.Septiembre;17;22;12;9.0mm;7.6
23.Septiembre;17;22;12;10.8mm;6.9
24.Septiembre;17;22;11;8.1mm;7.1
25.Septiembre;16;21;12;8.5mm;7.4
26.Septiembre;16;21;12;11.3mm;6.7
27.Septiembre;17;22;12;9.6mm;7.3
28.Septiembre;17;21;12;10.8mm;7.5
29.Septiembre;17;22;12;9.5mm;7.2
30.Septiembre;16;21;12;8.9mm;6.7
1.Octubre;16;21;12;9.0mm;6.5
2.Octubre;17;22;12;7.9mm;7.4
3.Octubre;16;22;11;8.3mm;7
4.Octubre;16;21;12;10.9mm;6.7
5.Octubre;17;21;12;9.3mm;7.1
6.Octubre;16;21;12;10.2mm;6.6
7.Octubre;16;21;12;10.2mm;6.4
8.Octubre;16;20;12;11.5mm;6.6
9.Octubre;16;21;12;11.3mm;6.7
10.Octubre;17;21;12;10.3mm;6.4
11.Octubre;16;20;12;11.7mm;6.4
12.Octubre;16;21;12;8.6mm;6.7
13.Octubre;16;20;12;11.3mm;6.6
14.Octubre;16;20;12;9.5mm;6.1
15.Octubre;16;20;12;9.9mm;5.9
16.Octubre;16;20;12;9.0mm;5.8
17.Octubre;16;20;12;11.5mm;6
18.Octubre;16;20;12;10.1mm;6.1
19.Octubre;16;20;12;10.6mm;5.9
20.Octubre;16;20;12;11.5mm;6.1
21.Octubre;16;20;12;10.3mm;6.1
22.Octubre;16;20;12;10.5mm;6.3
23.Octubre;16;20;12;10.0mm;5.9
24.Octubre;16;20;12;10.4mm;5.8
25.Octubre;16;20;12;10.8mm;5.6
26.Octubre;16;20;12;10.3mm;5.8
27.Octubre;16;20;12;9.3mm;5.8
28.Octubre;16;20;12;11.9mm;5.6
29.Octubre;16;20;12;13.2mm;5.6
30.Octubre;16;19;12;12.7mm;5.8
31.Octubre;16;20;12;9.5mm;6.1
1.Noviembre;16;19;12;10.6mm;5.6
2.Noviembre;16;20;12;12.6mm;5.3
3.Noviembre;16;20;12;9.0mm;5.8
4.Noviembre;16;20;12;9.7mm;5.4
5.Noviembre;16;20;12;10.1mm;5.4
6.Noviembre;16;20;12;11.0mm;5.3
7.Noviembre;16;20;12;12.9mm;5.7
8.Noviembre;16;20;12;12.2mm;5.6
9.Noviembre;16;20;12;10.5mm;5.6
10.Noviembre;16;20;12;11.1mm;5.7
11.Noviembre;16;20;12;9.1mm;6.2
12.Noviembre;16;19;12;9.7mm;5.6
13.Noviembre;16;20;12;9.9mm;5.7
14.Noviembre;16;19;12;12.2mm;5.5
15.Noviembre;16;20;12;12.7mm;5.5
16.Noviembre;16;20;12;10.1mm;5.7
17.Noviembre;16;20;12;9.8mm;5.8
18.Noviembre;16;20;12;10.0mm;4.9
19.Noviembre;16;20;12;10.5mm;5.1
20.Noviembre;16;20;12;10.6mm;5.2
21.Noviembre;16;20;12;9.3mm;5.5
22.Noviembre;16;20;12;8.1mm;5.6
23.Noviembre;16;20;12;11.2mm;6.1
24.Noviembre;16;20;12;9.6mm;5.7
25.Noviembre;16;20;12;8.9mm;5.4
26.Noviembre;16;21;12;7.5mm;6.1
27.Noviembre;16;20;12;10.0mm;5.8
28.Noviembre;16;20;12;10.4mm;6.2
29.Noviembre;16;20;12;8.6mm;5.6
30.Noviembre;16;20;12;7.9mm;5.3
1.Diciembre;16;20;12;10.0mm;5.5
2.Diciembre;16;20;12;10.2mm;5.8
3.Diciembre;16;20;12;7.7mm;5.5
4.Diciembre;16;20;12;8.1mm;5.8
5.Diciembre;16;20;12;9.0mm;5.9
6.Diciembre;16;20;12;7.9mm;5.9
7.Diciembre;16;20;12;7.1mm;5.8
8.Diciembre;16;20;12;6.4mm;5.6
9.Diciembre;16;21;12;6.4mm;5.7
10.Diciembre;16;21;12;7.6mm;6.6
11.Diciembre;16;21;12;7.6mm;6.6
12.Diciembre;16;20;12;7.2mm;5.6
13.Diciembre;16;20;12;7.6mm;5.8
14.Diciembre;16;20;12;6.9mm;5.5
15.Diciembre;16;20;12;7.6mm;5.7
16.Diciembre;16;20;12;7.4mm;6
17.Diciembre;16;20;12;7.1mm;5.8
18.Diciembre;16;20;12;6.7mm;5.5
19.Diciembre;16;20;12;6.9mm;5.8
20.Diciembre;16;20;12;5.8mm;5.8
21.Diciembre;16;20;12;4.8mm;6.1
22.Diciembre;16;20;12;4.8mm;6.1
23.Diciembre;16;21;11;4.7mm;6.4
24.Diciembre;16;21;11;5.9mm;6.8
25.Diciembre;16;21;12;5.7mm;6.4
26.Diciembre;16;21;12;5.1mm;6.4
27.Diciembre;16;21;11;5.7mm;6.4
28.Diciembre;16;21;11;4.8mm;6.9
29.Diciembre;16;21;12;5.0mm;6.9
30.Diciembre;16;21;12;2.9mm;6.7
31.Diciembre;16;21;12;3.7mm;6.4
